#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -2011.63 gwf_0-102-1001
1 30 26 -218.345 gwf_0-108-1004
1 19 34 -8632.82 gwf_0-97-1012
2 13 41 -6319.08 gwf_1-91-1019
2 14 45 -4682.03 gwf_1-92-1023
2 14 45 -4693.79 gwf_1-92-1023
2 15 44 -2576.29 gwf_1-93-1022
2 15 45 -2493.94 gwf_1-93-1023
2 15 45 -3188.01 gwf_1-93-1023
2 17 40 -3623.28 gwf_1-95-1018
2 17 40 -3563.39 gwf_1-95-1018
2 17 41 -8713.83 gwf_1-95-1019
2 17 41 -11154.3 gwf_1-95-1019
2 17 41 -8713.83 gwf_1-95-1019
2 18 40 -13960.7 gwf_1-96-1018
2 19 34 -7991.96 gwf_1-97-1012
