#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -1977.78 gwf_0-102-1001
1 30 26 -211.302 gwf_0-108-1004
1 19 34 -12406.9 gwf_0-97-1012
2 13 41 -4540.31 gwf_1-91-1019
2 14 45 -4594.9 gwf_1-92-1023
2 14 45 -4561.53 gwf_1-92-1023
2 15 44 -4072 gwf_1-93-1022
2 15 45 -2948.3 gwf_1-93-1023
2 15 45 -3460.08 gwf_1-93-1023
2 17 40 -4862.18 gwf_1-95-1018
2 17 40 -4832.16 gwf_1-95-1018
2 17 41 -9154.1 gwf_1-95-1019
2 17 41 -12326.5 gwf_1-95-1019
2 17 41 -8974.02 gwf_1-95-1019
2 18 40 -13510.4 gwf_1-96-1018
2 19 34 -11028.4 gwf_1-97-1012
