#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -713.078 gwf_0-102-1001
1 30 26 -84.5206 gwf_0-108-1004
1 19 34 -7688.1 gwf_0-97-1012
2 13 41 -0 gwf_1-91-1019
2 14 45 -2210.65 gwf_1-92-1023
2 14 45 -2235.48 gwf_1-92-1023
2 15 44 -2223.06 gwf_1-93-1022
2 15 45 -2297.58 gwf_1-93-1023
2 15 45 -2272.74 gwf_1-93-1023
2 17 40 -915.41 gwf_1-95-1018
2 17 40 -915.41 gwf_1-95-1018
2 17 41 -4640.18 gwf_1-95-1019
2 17 41 -3777.86 gwf_1-95-1019
2 17 41 -3409.11 gwf_1-95-1019
2 18 40 -5404.14 gwf_1-96-1018
2 19 34 -6399.59 gwf_1-97-1012
