#k i j q boundname
1 24 23 -385.123 gwf_0-102-1001
1 24 23 -718.667 gwf_0-102-1001
1 30 26 -174.676 gwf_0-108-1004
1 19 34 -10330.8 gwf_0-97-1012
2 13 41 -594.076 gwf_1-91-1019
2 14 45 -4511.72 gwf_1-92-1023
2 14 45 -4511.72 gwf_1-92-1023
2 15 44 -4511.72 gwf_1-93-1022
2 15 45 -3549.22 gwf_1-93-1023
2 15 45 -3561.25 gwf_1-93-1023
2 17 40 -3008.61 gwf_1-95-1018
2 17 40 -2976.26 gwf_1-95-1018
2 17 41 -8896.44 gwf_1-95-1019
2 17 41 -10202.7 gwf_1-95-1019
2 17 41 -8508.23 gwf_1-95-1019
2 18 40 -11168.6 gwf_1-96-1018
2 19 34 -9512.98 gwf_1-97-1012
