2.78 2.31 1.18 2.28 3.43 3.46 2.28 2.25 3.37 3.39 2.27 2.29 3.43 3.48 2.28 2.08 2.89 2.28 1.96 2.25 2.19 2.11 2.01 1.98 2.02 2.05 2.07 2.20 1.68 2.02 3.21 3.20 3.65 3.17 1.79 0.78 0.16 0.26 0.26 0.46 0.85 0.45 0.05 0.28 0.28 0.08 0.47 0.48 0.12 0.29 0.77 0.84 0.65 0.42 0.15 0.17 0.19 0.20 0.52 0.62 0.50 0.50 0.33 0.23 0.21 0.22 0.22 0.23 0.23 0.24 0.24 0.24 0.25 0.25 0.25 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26
2.81 3.43 2.30 2.31 3.46 2.88 1.70 1.64 2.76 3.12 2.00 2.02 3.17 3.20 1.99 1.23 2.04 2.14 1.82 1.65 1.59 1.51 1.40 1.41 1.44 1.43 1.46 1.68 1.16 1.50 2.69 3.20 3.65 3.86 2.48 1.47 0.85 0.06 0.05 0.25 0.65 0.66 0.27 0.05 0.06 0.07 0.45 0.85 0.49 0.11 0.59 0.72 0.53 0.72 0.46 0.33 0.35 0.18 0.50 0.67 0.55 0.41 0.24 0.39 0.37 0.22 0.23 0.23 0.24 0.24 0.25 0.23 0.24 0.24 0.24 0.25 0.25 0.25 0.25 0.25 0.25 0.26 0.26 0.26
1.68 2.30 3.34 3.36 3.37 2.79 1.55 1.48 2.37 2.73 2.58 2.59 2.66 2.69 2.68 1.92 1.61 1.71 1.10 0.93 0.91 0.83 0.79 0.79 0.75 0.74 0.83 1.05 1.41 1.75 1.43 1.93 3.26 3.48 3.45 2.44 1.04 0.24 0.05 0.24 0.68 0.70 0.26 0.05 0.47 0.47 0.07 0.46 0.87 0.49 0.09 0.23 0.25 0.45 0.81 0.69 0.32 0.14 0.16 0.33 0.35 0.20 0.54 0.70 0.58 0.43 0.24 0.25 0.26 0.27 0.24 0.22 0.22 0.23 0.23 0.24 0.24 0.24 0.24 0.24 0.25 0.25 0.25 0.25
1.41 2.31 3.35 3.13 3.15 3.01 1.76 1.58 2.47 2.29 2.13 1.91 1.98 2.18 2.17 2.02 1.71 1.17 0.56 0.50 0.48 0.48 0.45 0.41 0.37 0.39 0.47 0.69 1.05 1.30 0.98 1.49 2.82 2.96 2.93 2.53 1.13 0.56 0.36 0.05 0.48 0.90 0.46 0.45 0.87 0.89 0.48 0.07 0.47 0.48 0.08 0.07 0.10 0.29 0.66 0.87 0.50 0.30 0.31 0.32 0.34 0.18 0.52 0.62 0.50 0.42 0.24 0.40 0.41 0.37 0.34 0.32 0.32 0.23 0.23 0.25 0.25 0.23 0.23 0.24 0.24 0.24 0.24 0.24
2.54 3.44 2.22 2.00 2.79 2.64 2.34 2.16 1.96 1.78 1.28 1.07 1.44 1.64 1.67 1.52 1.05 0.51 0.42 0.36 0.37 0.37 0.36 0.32 0.26 0.28 0.39 0.61 0.80 1.05 1.36 1.87 2.18 2.33 2.93 2.53 1.57 1.00 0.44 0.13 0.05 0.46 0.86 0.85 0.46 0.48 0.90 0.49 0.07 0.07 0.49 0.49 0.07 0.26 0.30 0.51 0.89 0.69 0.64 0.66 0.31 0.14 0.15 0.26 0.28 0.20 0.57 0.73 0.67 0.64 0.55 0.53 0.34 0.24 0.25 0.26 0.28 0.26 0.22 0.23 0.22 0.23 0.24 0.24
3.36 3.25 2.02 1.25 2.04 2.10 1.79 1.54 1.33 1.25 0.76 0.50 0.87 1.07 1.10 1.15 0.68 0.40 0.30 0.25 0.27 0.27 0.26 0.25 0.19 0.21 0.32 0.40 0.59 0.84 1.15 1.49 1.81 2.21 2.81 2.64 1.68 1.19 0.63 0.32 0.24 0.24 0.63 0.84 0.45 0.07 0.50 0.50 0.08 0.07 0.49 0.92 0.50 0.28 0.31 0.52 0.90 0.68 0.63 0.84 0.48 0.30 0.32 0.34 0.36 0.35 0.71 0.70 0.65 0.62 0.53 0.72 0.52 0.38 0.39 0.40 0.41 0.42 0.38 0.36 0.36 0.24 0.25 0.43
2.22 2.11 2.76 1.99 1.67 1.73 1.06 0.80 0.70 0.62 0.56 0.30 0.27 0.47 0.49 0.53 0.60 0.32 0.28 0.23 0.17 0.17 0.17 0.16 0.15 0.17 0.23 0.31 0.43 0.68 0.76 1.10 1.70 2.11 2.59 2.41 1.12 0.63 0.94 0.62 0.22 0.23 0.75 0.96 0.84 0.46 0.10 0.10 0.52 0.51 0.07 0.50 0.93 0.71 0.69 0.90 0.49 0.26 0.27 0.48 0.88 0.69 0.68 0.70 0.32 0.31 0.34 0.33 0.35 0.32 0.31 0.49 0.88 0.73 0.64 0.65 0.37 0.37 0.67 0.65 0.39 0.27 0.50 0.69
1.79 1.31 1.96 2.13 1.81 1.21 0.54 0.45 0.34 0.26 0.20 0.18 0.15 0.13 0.15 0.20 0.26 0.27 0.23 0.18 0.12 0.11 0.11 0.11 0.10 0.11 0.16 0.25 0.37 0.42 0.49 0.83 1.44 1.99 2.47 2.10 0.81 0.51 0.82 0.65 0.25 0.32 0.85 0.75 0.63 0.48 0.11 0.11 0.53 0.95 0.52 0.52 0.95 0.71 0.69 0.91 0.50 0.30 0.31 0.50 0.90 0.68 0.67 0.88 0.49 0.10 0.13 0.16 0.18 0.37 0.36 0.36 0.75 0.75 0.66 0.47 0.18 0.33 0.63 0.83 0.58 0.57 0.80 0.67
2.05 1.57 1.50 1.66 1.13 0.53 0.41 0.32 0.27 0.18 0.18 0.16 0.11 0.09 0.09 0.13 0.16 0.17 0.15 0.11 0.09 0.07 0.08 0.09 0.08 0.09 0.11 0.20 0.25 0.30 0.36 0.70 1.31 1.85 2.40 2.02 2.09 1.80 1.14 0.97 0.33 0.39 0.32 0.22 0.27 0.11 0.82 0.82 0.11 0.54 0.97 0.97 0.51 0.26 0.26 0.49 0.94 0.74 0.71 0.90 0.48 0.27 0.30 0.51 0.88 0.49 0.10 0.13 0.51 0.70 0.32 0.32 0.33 0.34 0.34 0.15 0.15 0.31 0.31 0.51 0.91 0.90 0.50 0.38
1.52 1.42 1.35 1.28 0.75 0.43 0.30 0.23 0.18 0.15 0.14 0.12 0.08 0.05 0.05 0.06 0.09 0.09 0.08 0.07 0.05 0.05 0.05 0.06 0.06 0.07 0.09 0.13 0.18 0.23 0.29 0.64 1.25 1.58 2.13 2.64 2.71 2.42 1.76 0.85 0.21 0.16 0.08 0.07 0.12 0.64 1.35 1.35 0.64 0.51 0.94 0.99 0.52 0.29 0.29 0.52 0.97 0.73 0.70 0.91 0.49 0.31 0.35 0.55 0.92 0.52 0.13 0.14 0.52 0.52 0.14 0.09 0.10 0.33 0.33 0.34 0.34 0.13 0.14 0.34 0.74 0.60 0.20 0.16
