#k i j q boundname
9 119 71 -20359.5 usgs_s_2040
11 119 71 -23095.5 usgs_s_2048
10 120 70 -23612.4 usgs_s_2063
12 153 21 -94654.7 usgs_s_2106
11 153 21 -126203 usgs_s_2119
13 119 71 -27471.4 usgs_s_2123
14 147 59 -40086.3 usgs_s_2157
11 147 59 -3163.77 usgs_s_2178
5 172 54 -10204.3 usgs_s_2219
14 120 70 -12102.5 usgs_s_2232
12 145 59 -0 usgs_s_2233
8 81 75 -2170.08 usgs_s_2491
8 81 78 -1417.01 usgs_s_2493
12 71 21 -8421.88 usgs_s_2499
14 71 23 -9001.16 usgs_s_2500
7 103 39 -1029.34 usgs_s_2504
7 103 39 -0 usgs_s_2505
15 71 23 -9237.33 usgs_s_2512
14 103 39 -8230.27 usgs_s_2513
13 79 75 -45429.1 usgs_s_2530
