time,PERIMETER-HEAD,PERIMETER-HEADS
365.0000000000,.3000000000000000E+31,-2895821.467054553
366.0000000000,.3000000000000000E+31,-2785458.272043655
367.0000000000,.3000000000000000E+31,-2777306.390647190
368.0000000000,.3000000000000000E+31,-2801112.519024997
369.0000000000,.3000000000000000E+31,-2828919.354117388
370.0000000000,.3000000000000000E+31,-2779082.034482134
371.0000000000,.3000000000000000E+31,-2821290.323126137
372.0000000000,.3000000000000000E+31,-2809019.081761012
373.0000000000,.3000000000000000E+31,-2842518.637573615
374.0000000000,.3000000000000000E+31,-2986677.349061302
375.0000000000,.3000000000000000E+31,-2772313.687020021
376.0000000000,.3000000000000000E+31,-3577614.806368719
377.0000000000,.3000000000000000E+31,-3517981.084901752
378.0000000000,.3000000000000000E+31,-2856029.351451467
379.0000000000,.3000000000000000E+31,-2840477.025600190
380.0000000000,.3000000000000000E+31,-2834411.092945999
381.0000000000,.3000000000000000E+31,-2820845.347802142
382.0000000000,.3000000000000000E+31,-2810211.103906149
383.0000000000,.3000000000000000E+31,-2841705.830752818
384.0000000000,.3000000000000000E+31,-2848938.278453436
385.0000000000,.3000000000000000E+31,-2857629.277708345
386.0000000000,.3000000000000000E+31,-2847145.522902259
387.0000000000,.3000000000000000E+31,-2861052.303850339
388.0000000000,.3000000000000000E+31,-3970515.667061606
389.0000000000,.3000000000000000E+31,-2882990.491275784
390.0000000000,.3000000000000000E+31,-2862365.874552063
391.0000000000,.3000000000000000E+31,-2855406.788647301
392.0000000000,.3000000000000000E+31,-2945795.416811663
393.0000000000,.3000000000000000E+31,-3133476.257601452
394.0000000000,.3000000000000000E+31,-3480826.306449103
395.0000000000,.3000000000000000E+31,-2915007.926558937
396.0000000000,.3000000000000000E+31,-2898353.461474753
397.0000000000,.3000000000000000E+31,-3159115.513934086
398.0000000000,.3000000000000000E+31,-2898347.851918088
399.0000000000,.3000000000000000E+31,-2918413.588993767
400.0000000000,.3000000000000000E+31,-3495705.568251347
401.0000000000,.3000000000000000E+31,-3509505.540044499
402.0000000000,.3000000000000000E+31,-2963743.577503012
403.0000000000,.3000000000000000E+31,-3538822.191096096
404.0000000000,.3000000000000000E+31,-2987013.923852916
405.0000000000,.3000000000000000E+31,-2970028.776545093
406.0000000000,.3000000000000000E+31,-4006054.945062670
407.0000000000,.3000000000000000E+31,-4914327.298603887
408.0000000000,.3000000000000000E+31,-3150615.581106644
409.0000000000,.3000000000000000E+31,-3113969.390918724
410.0000000000,.3000000000000000E+31,-3395952.760394173
411.0000000000,.3000000000000000E+31,-3289083.085757806
412.0000000000,.3000000000000000E+31,-3184982.039219854
413.0000000000,.3000000000000000E+31,-3545938.035578925
414.0000000000,.3000000000000000E+31,-3460568.902513891
415.0000000000,.3000000000000000E+31,-3275958.828375961
416.0000000000,.3000000000000000E+31,-3149308.108520217
417.0000000000,.3000000000000000E+31,-3140490.756250977
418.0000000000,.3000000000000000E+31,-3125173.485890209
419.0000000000,.3000000000000000E+31,-3281192.316847348
420.0000000000,.3000000000000000E+31,-3845665.374124369
421.0000000000,.3000000000000000E+31,-4097298.105456938
422.0000000000,.3000000000000000E+31,-3230917.472491889
423.0000000000,.3000000000000000E+31,-3205463.478462337
424.0000000000,.3000000000000000E+31,-3196689.206682181
425.0000000000,.3000000000000000E+31,-5741171.610946539
426.0000000000,.3000000000000000E+31,-5742113.893099585
427.0000000000,.3000000000000000E+31,-3543287.482875871
428.0000000000,.3000000000000000E+31,-3491774.793911929
429.0000000000,.3000000000000000E+31,-3469738.519475555
430.0000000000,.3000000000000000E+31,-3449099.736938891
431.0000000000,.3000000000000000E+31,-4990080.622231500
432.0000000000,.3000000000000000E+31,-3630530.272025705
433.0000000000,.3000000000000000E+31,-3576314.626122419
434.0000000000,.3000000000000000E+31,-3552577.914800936
435.0000000000,.3000000000000000E+31,-3552713.598766549
436.0000000000,.3000000000000000E+31,-3705920.262043412
437.0000000000,.3000000000000000E+31,-4006609.033254221
438.0000000000,.3000000000000000E+31,-3558467.034276382
439.0000000000,.3000000000000000E+31,-3494429.574796198
440.0000000000,.3000000000000000E+31,-3479430.733759997
441.0000000000,.3000000000000000E+31,-3462695.261119192
442.0000000000,.3000000000000000E+31,-3447641.691138823
443.0000000000,.3000000000000000E+31,-3433262.093870714
444.0000000000,.3000000000000000E+31,-3419861.318404891
445.0000000000,.3000000000000000E+31,-3406034.765001590
446.0000000000,.3000000000000000E+31,-4401099.676294665
447.0000000000,.3000000000000000E+31,-4224351.849864569
448.0000000000,.3000000000000000E+31,-3579200.380553204
449.0000000000,.3000000000000000E+31,-3505507.648147991
450.0000000000,.3000000000000000E+31,-3492833.210587587
451.0000000000,.3000000000000000E+31,-3476701.286489765
452.0000000000,.3000000000000000E+31,-3462970.085492793
453.0000000000,.3000000000000000E+31,-3457982.338813725
454.0000000000,.3000000000000000E+31,-3440277.864874223
455.0000000000,.3000000000000000E+31,-3424438.983306046
456.0000000000,.3000000000000000E+31,-3423073.476530329
457.0000000000,.3000000000000000E+31,-3604394.226818001
458.0000000000,.3000000000000000E+31,-3809820.503761964
