time,MILLCREEK0,MILLCREEK1,MILLCREEK2,MILLCREEK3,MILLCREEK4,MILLCREEK5,MILLCREEK6,MILLCREEK7
91.47869674185,-10608.23337703837,-8003.166547594794,-9332.716181837577,-8764.904525259648,-8711.920826748545,-5780.601050035281,.000000000000000,.000000000000000
210.4010025063,-10465.79874383691,-7841.112614137353,-9084.146340711513,-8419.252901485030,-8337.371290820616,-5363.135284133667,.000000000000000,.000000000000000
365.0000000000,-10396.36485162926,-7767.366368233219,-8981.935559058549,-8297.701545605853,-8209.840824817615,-5222.218045915987,.000000000000000,.000000000000000
366.0000000000,-10341.74107596484,-7698.815582185307,-8957.730975059381,-8276.909358641949,-8188.555991753270,-5200.246584031530,.000000000000000,.000000000000000
367.0000000000,-10333.71803108756,-7686.788282048388,-8936.231337742935,-8256.982793541374,-8168.330221101432,-5179.526570833089,.000000000000000,.000000000000000
368.0000000000,-10325.13771909152,-7675.020643800488,-8916.675583197433,-8237.794176134674,-8148.938384955023,-5159.767540882774,.000000000000000,.000000000000000
369.0000000000,-10316.32767391388,-7663.604887932803,-8898.581661651193,-8219.276691810266,-8130.253341705173,-5140.785831264237,.000000000000000,.000000000000000
370.0000000000,-10307.36983162130,-7652.489977491483,-8881.614443893723,-8201.376199462644,-8112.187212957189,-5122.454296769246,.000000000000000,.000000000000000
371.0000000000,-10298.29236434403,-7641.611897871941,-8865.529977529110,-8184.039833132174,-8094.670905914549,-5104.678773839884,.000000000000000,.000000000000000
372.0000000000,-10289.11255417862,-7630.919971825502,-8850.147396884087,-8167.216162330113,-8077.647338168013,-5087.386872099915,.000000000000000,.000000000000000
373.0000000000,-10279.86081463863,-7620.389568260340,-8835.334632508877,-8150.859643214559,-8061.070640561160,-5070.523237931618,.000000000000000,.000000000000000
374.0000000000,-10462.33770815848,-7795.519360423632,-8875.479516544056,-8177.681858519047,-8086.434228013663,-5096.007950228671,.000000000000000,.000000000000000
375.0000000000,-10290.32823050225,-7632.310339962345,-8855.973087503939,-8160.709949260436,-8069.222528094388,-5077.893063168461,.000000000000000,.000000000000000
376.0000000000,-10982.18008552511,-8326.072513678484,-9052.654732636203,-8310.718543208252,-8215.213476551799,-5224.145875981841,.000000000000000,.000000000000000
377.0000000000,-11148.38211778331,-8531.188471656504,-9265.585214574114,-8473.226426361285,-8373.092295334505,-5380.650615546480,.000000000000000,.000000000000000
378.0000000000,-10471.32902724625,-7824.396684557596,-9192.420545987605,-8446.075955491804,-8345.861207402850,-5350.078231991381,.000000000000000,.000000000000000
379.0000000000,-10457.03489964634,-7805.445452266806,-9137.609770893154,-8420.163584847336,-8320.546226053923,-5322.870822126936,.000000000000000,.000000000000000
380.0000000000,-10443.89998017847,-7788.636686675440,-9094.940172152819,-8395.386607910179,-8296.692122104381,-5298.068620641677,.000000000000000,.000000000000000
381.0000000000,-10431.34468887390,-7773.168981870887,-9060.400619900423,-8371.682770371888,-8274.005521354873,-5275.048322525487,.000000000000000,.000000000000000
382.0000000000,-10419.53418458223,-7759.323013833058,-9031.641685655306,-8349.012550885951,-8252.299977387322,-5253.393881560697,.000000000000000,.000000000000000
383.0000000000,-10409.00504281674,-7748.009953293958,-9007.568971663632,-8327.363475109476,-8231.463169367811,-5232.822627190889,.000000000000000,.000000000000000
384.0000000000,-10398.26293566012,-7736.329046555456,-8986.443631459475,-8306.660466640915,-8211.398822306124,-5213.131114231620,.000000000000000,.000000000000000
385.0000000000,-10457.66806967516,-7788.422348258015,-8985.811708808247,-8301.275341928218,-8205.968559209565,-5208.377752627369,.000000000000000,.000000000000000
386.0000000000,-10433.38961733605,-7764.233521350847,-8976.648297589874,-8289.510871288749,-8194.262838820576,-5196.818434980411,.000000000000000,.000000000000000
387.0000000000,-10438.25435878167,-7768.101069890088,-8969.864635356582,-8279.518189118828,-8184.046192034297,-5186.647428540548,.000000000000000,.000000000000000
388.0000000000,-11459.08764448030,-8844.949149197239,-9303.300439370396,-8514.101339504543,-8412.062545227933,-5415.451688901595,.000000000000000,.000000000000000
389.0000000000,-10520.89514506757,-7865.584439485714,-9232.610762389186,-8487.730165591600,-8385.707267615220,-5386.562810137425,.000000000000000,.000000000000000
390.0000000000,-10505.83233176519,-7846.638381931380,-9179.595348753826,-8462.594509137462,-8361.133112726202,-5360.660352107730,.000000000000000,.000000000000000
391.0000000000,-10491.89427113639,-7829.634217725130,-9138.145018748737,-8438.493148713080,-8337.895973533776,-5336.884033754995,.000000000000000,.000000000000000
392.0000000000,-10602.56324862347,-7937.834252720953,-9139.623979427863,-8438.397757910507,-8337.779318818848,-5336.648273680362,.000000000000000,.000000000000000
393.0000000000,-10781.14860278245,-8123.758826357916,-9197.775528419686,-8478.248988332132,-8376.401680640107,-5375.237159036205,.000000000000000,.000000000000000
394.0000000000,-11111.39903255067,-8463.127657575182,-9342.725196750964,-8583.369965715798,-8478.303840002254,-5476.793785933299,.000000000000000,.000000000000000
395.0000000000,-10577.39272757630,-7918.664526911876,-9281.441238816182,-8556.492390031528,-8452.289679718067,-5449.289268239710,.000000000000000,.000000000000000
396.0000000000,-10561.75372693627,-7899.407249468635,-9233.995170073882,-8530.718745826081,-8427.701277480101,-5424.206865031504,.000000000000000,.000000000000000
397.0000000000,-10803.23684388608,-8139.833450479295,-9273.391908682981,-8559.143087322856,-8455.670281254879,-5452.255733879479,.000000000000000,.000000000000000
398.0000000000,-10570.18439041557,-7905.097770305285,-9230.698927304760,-8534.084000680681,-8431.740003482315,-5428.137861940545,.000000000000000,.000000000000000
399.0000000000,-10555.88893245774,-7888.390493598250,-9195.840534378922,-8510.067761545659,-8408.877768063947,-5405.590720064240,.000000000000000,.000000000000000
400.0000000000,-11097.32476176374,-8439.977294317692,-9340.151719931759,-8607.960221308720,-8504.249649418476,-5501.757315340187,.000000000000000,.000000000000000
401.0000000000,-11134.20492498944,-8480.310882467156,-9453.372912598514,-8695.931128485141,-8589.491563049356,-5586.474381954621,.000000000000000,.000000000000000
402.0000000000,-10664.72579805749,-8003.019255093835,-9389.149574822004,-8667.713092167603,-8562.146265212783,-5557.844446088427,.000000000000000,.000000000000000
403.0000000000,-11186.13018289943,-8531.976230806989,-9508.047268611366,-8758.076138011316,-8650.228571919890,-5645.817024455674,.000000000000000,.000000000000000
404.0000000000,-10708.15374706405,-8045.858286089639,-9443.635744463818,-8728.543394078484,-8621.887274865216,-5616.459093960929,.000000000000000,.000000000000000
405.0000000000,-10691.33764793813,-8025.198519134665,-9393.479666679683,-8700.279441280771,-8595.131081115838,-5589.686425305937,.000000000000000,.000000000000000
406.0000000000,-11896.06167887528,-9274.265562759188,-9768.050547200148,-8975.253046334241,-8865.506968434653,-5860.866706801763,.000000000000000,.000000000000000
407.0000000000,-12304.57876406298,-9726.478144549110,-10660.27398396211,-9271.164220472594,-9146.642472274641,-6136.646375927493,.000000000000000,.000000000000000
408.0000000000,-11015.37935548812,-8361.821772748239,-9816.179683671477,-9224.398905511855,-9103.545924398899,-6090.838339350573,.000000000000000,.000000000000000
409.0000000000,-10996.47530889352,-8337.067830413160,-9781.102889534508,-9179.970084745550,-9063.814658291160,-6050.889930386876,.000000000000000,.000000000000000
410.0000000000,-11237.23383163541,-8570.609260670231,-9822.062049158694,-9189.545102873934,-9076.010003259213,-6064.210588708734,.000000000000000,.000000000000000
411.0000000000,-11168.20657560859,-8498.523324456273,-9827.241818574050,-9183.235942295041,-9072.403878726202,-6061.993026619354,.000000000000000,.000000000000000
412.0000000000,-11079.46639822506,-8405.288621442543,-9799.644660479231,-9157.071852447651,-9048.925639491634,-6040.145729889552,.000000000000000,.000000000000000
413.0000000000,-11405.78121205212,-8736.036772997841,-9934.153647260584,-9205.056205744157,-9096.029260901290,-6088.959057321174,.000000000000000,.000000000000000
414.0000000000,-11340.16314384396,-8668.903273041109,-9979.833866630755,-9232.044139069336,-9122.352936913794,-6116.207465275968,.000000000000000,.000000000000000
415.0000000000,-11189.21657724694,-8509.420470656776,-9852.585979592641,-9219.375123102269,-9111.068261114746,-6105.958359827974,.000000000000000,.000000000000000
416.0000000000,-11045.85977192310,-8370.679586594562,-9808.669115203071,-9183.485029752390,-9077.691474078478,-6074.117989368743,.000000000000000,.000000000000000
417.0000000000,-11026.44977776303,-8348.595194908747,-9772.597483213058,-9149.370054054740,-9045.914433735850,-6044.344442835926,.000000000000000,.000000000000000
418.0000000000,-11008.62302555783,-8328.219729215800,-9739.537839127699,-9116.965613800283,-9015.539849734574,-6016.172433507397,.000000000000000,.000000000000000
419.0000000000,-11135.44502317584,-8447.988060759564,-9755.759653094306,-9119.888284807916,-9019.635329448007,-6022.653460573950,.000000000000000,.000000000000000
420.0000000000,-11665.81361510214,-8989.990317877906,-10064.32937419750,-9232.258420605702,-9126.986452333793,-6131.189050839112,.000000000000000,.000000000000000
