total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
38,365.0000000000000,1,1,1,38,19.28351465908465,1,,5604
50,365.0000000000000,1,1,2,12,-1.284982813361282,1,,5692
57,365.0000000000000,1,1,3,7,-.3643968011470164,1,,5692
59,365.0000000000000,1,1,4,2,-.7709160434422202E-01,1,,5603
76,366.0000000000000,2,1,1,17,16.93512578991455,1,,100335
78,366.0000000000000,2,1,2,2,.6100210291400643E-01,1,,7806
86,367.0000000000000,3,1,1,8,.1133526391677790,1,,54471
89,367.0000000000000,3,1,2,3,.3268354347517288E-01,1,,224574
91,368.0000000000000,4,1,1,2,.8446411750168181E-01,1,,54471
93,369.0000000000000,5,1,1,2,.6563840582328595E-01,1,,54471
100,370.0000000000000,6,1,1,7,-.8951089985798966E-01,1,,35689
102,371.0000000000000,7,1,1,2,-.6403346049963332E-01,1,,21991
105,372.0000000000000,8,1,1,3,-.6316094613015011E-01,1,,37186
107,373.0000000000000,9,1,1,2,-.4495466187951536E-01,1,,52289
116,374.0000000000000,10,1,1,9,1.108960627400858,1,,7723
121,374.0000000000000,10,1,2,5,.1240217316078085,1,,2493
123,374.0000000000000,10,1,3,2,-.2301555328767790E-01,1,,7806
130,375.0000000000000,11,1,1,7,-1.484362384148735,1,,7642
135,375.0000000000000,11,1,2,5,.5700717723794817,1,,7642
138,375.0000000000000,11,1,3,3,.1710213345192280,1,,7642
140,375.0000000000000,11,1,4,2,.3417449418204654E-01,1,,7642
154,376.0000000000000,12,1,1,14,4.958062392974220,1,,7723
161,376.0000000000000,12,1,2,7,-2.208404893081827,1,,7806
163,376.0000000000000,12,1,3,2,-.7935187334518474,1,,7806
165,376.0000000000000,12,1,4,2,-.1810926947275178,1,,7806
167,376.0000000000000,12,1,5,2,.5598118304684974E-01,1,,7722
178,377.0000000000000,13,1,1,11,-.8308829145144916,1,,2308
184,377.0000000000000,13,1,2,6,.4406100210651580,1,,2410
186,377.0000000000000,13,1,3,2,-.8472394396984129E-01,1,,9034
199,378.0000000000000,14,1,1,13,-2.645341891488918,1,,5606
203,378.0000000000000,14,1,2,4,-.6770773486058204,1,,6710
205,378.0000000000000,14,1,3,2,.1489423992447563,1,,8136
207,378.0000000000000,14,1,4,2,.2990184773805638E-01,1,,8136
211,379.0000000000000,15,1,1,4,-.2683366457377048,1,,9034
214,379.0000000000000,15,1,2,3,-.3576450430964044,1,,7723
216,379.0000000000000,15,1,3,2,-.1053560490468897E-01,1,,51650
219,380.0000000000000,16,1,1,3,-3.206200177405467,1,,7723
222,380.0000000000000,16,1,2,3,.6450016948676733,1,,7723
224,380.0000000000000,16,1,3,2,.1957374534489347,1,,7723
226,380.0000000000000,16,1,4,2,.3913411469379824E-01,1,,7723
229,381.0000000000000,17,1,1,3,-.1137936015968393,1,,7642
232,381.0000000000000,17,1,2,3,-.2603989188631406E-01,1,,232610
235,382.0000000000000,18,1,1,3,-.1606443714664501,1,,35775
238,382.0000000000000,18,1,2,3,-.9489192437212424E-01,1,,6041
241,383.0000000000000,19,1,1,3,-.9433037789917975E-01,1,,7642
244,384.0000000000000,20,1,1,3,-.8643790517841055E-01,1,,7642
250,385.0000000000000,21,1,1,6,.3488655044936984,1,,7723
253,385.0000000000000,21,1,2,3,-.2136843126293897,1,,7724
254,385.0000000000000,21,1,3,1,-.2270757023410397E-02,1,,128075
258,386.0000000000000,22,1,1,4,-.2302565496270894,1,,7724
259,386.0000000000000,22,1,2,1,.3953922004150456E-02,1,,54195
261,387.0000000000000,23,1,1,2,.4225024855723092,1,,7723
262,387.0000000000000,23,1,2,1,-.8614588259415967E-02,1,,52458
276,388.0000000000000,24,1,1,14,6.673302725104225,1,,7723
285,388.0000000000000,24,1,2,9,-3.877495039521662,1,,7724
289,388.0000000000000,24,1,3,4,-1.474994960539792,1,,7724
291,388.0000000000000,24,1,4,2,-.3559735166234148,1,,7724
293,388.0000000000000,24,1,5,2,.1149443048875760,1,,7640
295,388.0000000000000,24,1,6,2,.3593223448776683E-01,1,,7640
313,389.0000000000000,25,1,1,18,-3.355332363583170,1,,2394
316,389.0000000000000,25,1,2,3,-.9934581451967119,1,,6295
318,389.0000000000000,25,1,3,2,.1466513472788904,1,,8136
320,389.0000000000000,25,1,4,2,.2943496033655890E-01,1,,8136
331,390.0000000000000,26,1,1,11,-.3835350694535009,1,,37292
333,390.0000000000000,26,1,2,2,-1.125183690003844,1,,7723
335,390.0000000000000,26,1,3,2,.6461491207072712E-01,1,,6541
339,391.0000000000000,27,1,1,4,-2.282730918902566,1,,7723
342,391.0000000000000,27,1,2,3,.6543305566054975,1,,7723
344,391.0000000000000,27,1,3,2,.1985017258568682,1,,7723
346,391.0000000000000,27,1,4,2,.3980447499710849E-01,1,,7723
353,392.0000000000000,28,1,1,7,.5131540697974870,1,,7723
357,392.0000000000000,28,1,2,4,.3808299658177017E-01,1,,33562
366,393.0000000000000,29,1,1,9,1.019434778654961,1,,7723
371,393.0000000000000,29,1,2,5,.2068206399463328,1,,7723
373,393.0000000000000,29,1,3,2,-.2093325047339256E-01,1,,5619
386,394.0000000000000,30,1,1,13,2.524642669702466,1,,7723
391,394.0000000000000,30,1,2,5,-1.386930750972336,1,,7723
394,394.0000000000000,30,1,3,3,-.4702688895319582,1,,7723
396,394.0000000000000,30,1,4,2,-.1014352223162405,1,,7723
398,394.0000000000000,30,1,5,2,.1564440167655334E-01,1,,7722
412,395.0000000000000,31,1,1,14,-2.395404181499313,1,,5606
415,395.0000000000000,31,1,2,3,-1.953838091616099,1,,7723
417,395.0000000000000,31,1,3,2,.1884602367534356,1,,7723
419,395.0000000000000,31,1,4,2,.6265671632401748E-01,1,,7723
423,396.0000000000000,32,1,1,4,-.8316906714402350,1,,7723
426,396.0000000000000,32,1,2,3,-.3128625350946628,1,,7889
427,396.0000000000000,32,1,3,1,-.7133521571642376E-02,1,,23177
436,397.0000000000000,33,1,1,9,1.934811139416283,1,,211067
441,397.0000000000000,33,1,2,5,.1654633976474589,1,,3714
443,397.0000000000000,33,1,3,2,-.2306680934210448E-01,1,,5786
452,398.0000000000000,34,1,1,9,-1.957853121470457,1,,7723
457,398.0000000000000,34,1,2,5,.6946679203331421,1,,7723
459,398.0000000000000,34,1,3,2,.2108256972937959,1,,7723
461,398.0000000000000,34,1,4,2,.4216416109632704E-01,1,,7723
464,399.0000000000000,35,1,1,3,-.9161931302425330E-01,1,,5786
475,400.0000000000000,36,1,1,11,3.015651246954320,1,,7723
482,400.0000000000000,36,1,2,7,.4750338317823659,1,,2409
486,400.0000000000000,36,1,3,4,-.1252659831340885,1,,7889
488,400.0000000000000,36,1,4,2,-.2530276738170301E-01,1,,7889
495,401.0000000000000,37,1,1,7,.3226855816342815,1,,2410
502,401.0000000000000,37,1,2,7,.3803947940861514,1,,2407
504,401.0000000000000,37,1,3,2,.2176812887772250E-01,1,,2651
517,402.0000000000000,38,1,1,13,-2.094268079961548,1,,5606
520,402.0000000000000,38,1,2,3,-.8507732435173168,1,,7723
522,402.0000000000000,38,1,3,2,.9244254444412991E-01,1,,2407
533,403.0000000000000,39,1,1,11,2.382663823266615,1,,7723
540,403.0000000000000,39,1,2,7,-1.407755619986894,1,,7723
543,403.0000000000000,39,1,3,3,-.4784785293855833,1,,7723
545,403.0000000000000,39,1,4,2,-.1033946869641724,1,,7723
547,403.0000000000000,39,1,5,2,.1597238382306543E-01,1,,7722
560,404.0000000000000,40,1,1,13,-2.125436514988653,1,,5606
563,404.0000000000000,40,1,2,3,-1.666566465405193,1,,7723
565,404.0000000000000,40,1,3,2,.2020259522253305,1,,7723
568,404.0000000000000,40,1,4,3,.6074864166571459E-01,1,,7723
575,405.0000000000000,41,1,1,7,-.8092305228755698,1,,7723
578,405.0000000000000,41,1,2,3,-.1398472013930316,1,,8873
579,405.0000000000000,41,1,3,1,.7676713223396803E-02,1,,7723
590,406.0000000000000,42,1,1,11,7.370453900997724,1,,7723
598,406.0000000000000,42,1,2,8,-4.287594176389938,1,,7723
603,406.0000000000000,42,1,3,5,-1.722582436917836,1,,7723
605,406.0000000000000,42,1,4,2,-.4452672694028088,1,,7723
607,406.0000000000000,42,1,5,2,.1468207464960329,1,,7722
612,406.0000000000000,42,1,6,5,.4606505864758503E-01,1,,7722
626,407.0000000000000,43,1,1,14,3.827758395727241,1,,2480
634,407.0000000000000,43,1,2,8,1.377584104704529,1,,2586
637,407.0000000000000,43,1,3,3,-.2890953821357165,1,,5198
