#k i j q boundname
9 119 71 -33497.8 usgs_s_2040
11 119 71 -25675.3 usgs_s_2048
10 120 70 -24592.9 usgs_s_2063
12 153 21 -73032.7 usgs_s_2106
11 153 21 -156303 usgs_s_2119
13 119 71 -53075.5 usgs_s_2123
14 147 59 -147191 usgs_s_2157
11 147 59 -14976.5 usgs_s_2178
5 172 54 -31966.9 usgs_s_2219
14 120 70 -19702.8 usgs_s_2232
12 145 59 -18029.6 usgs_s_2233
8 81 75 -1487.74 usgs_s_2491
8 81 78 -694.276 usgs_s_2493
12 71 21 -106617 usgs_s_2499
14 71 23 -21350.1 usgs_s_2500
7 103 39 -36412.9 usgs_s_2504
7 103 39 -28245.4 usgs_s_2505
15 71 23 -20224.6 usgs_s_2512
14 103 39 -71894.3 usgs_s_2513
13 79 75 -85891.9 usgs_s_2530
