time,MILLCREEK0,MILLCREEK1,MILLCREEK2,MILLCREEK3,MILLCREEK4,MILLCREEK5,MILLCREEK6,MILLCREEK7
91.47869674185,-60329.49774729622,-50083.37700089513,-58992.37835002971,-35836.36821554524,-36663.34178580568,-21345.21177990222,.000000000000000,.000000000000000
210.4010025063,-58631.93322257202,-48054.70012045856,-55563.17133073325,-32745.47081671141,-33657.90362854279,-18897.12202859521,.000000000000000,.000000000000000
365.0000000000,-58377.19015064267,-47819.61427879024,-55191.35788072141,-32389.00977494509,-33296.43010016831,-18554.02836294693,.000000000000000,.000000000000000
366.0000000000,-58195.32094518375,-47571.79372961533,-54921.21805941397,-32134.97416878646,-33036.42563760809,-18303.80957079641,.000000000000000,.000000000000000
367.0000000000,-58109.42852085826,-47444.02992560582,-54756.37867004750,-31988.15000307470,-32889.08920908082,-18171.10323808377,.000000000000000,.000000000000000
368.0000000000,-58053.85306658043,-47359.92092521318,-54633.99463046442,-31882.05455624631,-32783.63605370291,-18081.04057402315,.000000000000000,.000000000000000
369.0000000000,-58007.70724286318,-47293.56295510884,-54531.83390886187,-31793.56497089202,-32695.57282294867,-18007.50543465681,.000000000000000,.000000000000000
370.0000000000,-57964.11763973430,-47235.54916117226,-54441.12248300769,-31714.13222728074,-32616.02851446414,-17941.19705313980,.000000000000000,.000000000000000
371.0000000000,-57920.77318065370,-47182.09696627479,-54357.83022496393,-31640.25278074840,-32541.51501419811,-17878.65592106167,.000000000000000,.000000000000000
372.0000000000,-57876.96586783811,-47131.52708181437,-54279.83906543635,-31570.32781583065,-32470.53322008059,-17818.53295114308,.000000000000000,.000000000000000
373.0000000000,-57832.53494405445,-47082.98298695443,-54205.86941940089,-31503.49294305906,-32402.33040929145,-17760.25074429257,.000000000000000,.000000000000000
374.0000000000,-58466.56097039865,-47660.62784589553,-54722.51460713869,-31972.58755208954,-32855.50489858705,-18197.84232459846,.000000000000000,.000000000000000
375.0000000000,-58074.59581884215,-47318.09629982272,-54435.98949892191,-31687.48283852452,-32571.73508284765,-17913.30264068197,.000000000000000,.000000000000000
376.0000000000,-60363.79645459855,-49506.77214139792,-56543.31030489687,-33618.17368023770,-34461.05654986382,-19702.05554154937,.000000000000000,.000000000000000
377.0000000000,-61611.54614926257,-50783.16325083159,-58063.05412987086,-34942.47244383910,-35750.13812578890,-20855.76972881969,.000000000000000,.000000000000000
378.0000000000,-59800.90356462092,-49125.92256456531,-56688.81362974542,-33579.21526999428,-34396.92593623279,-19481.26370339992,.000000000000000,.000000000000000
379.0000000000,-59144.30120321394,-48461.75390015718,-56062.56326643030,-33005.13970264842,-33837.56436423965,-18938.65676655865,.000000000000000,.000000000000000
380.0000000000,-58875.88814084262,-48151.36658220753,-55715.10380760937,-32715.28998877171,-33561.51110539300,-18691.32723542216,.000000000000000,.000000000000000
381.0000000000,-58740.30613763253,-47974.35230188191,-55483.52516103732,-32534.01507752851,-33391.21216935953,-18551.03358168493,.000000000000000,.000000000000000
382.0000000000,-58651.54756464152,-47852.53499452941,-55307.67012655733,-32398.69130446065,-33263.89203077572,-18451.34659012608,.000000000000000,.000000000000000
383.0000000000,-58580.29414413765,-47756.83540637681,-55163.09937007712,-32285.99760564932,-33156.68365919685,-18368.55553428800,.000000000000000,.000000000000000
384.0000000000,-58516.17505576152,-47675.44296534314,-55038.43989875052,-32186.49397775606,-33060.71183245875,-18293.94906982227,.000000000000000,.000000000000000
385.0000000000,-58703.80388712332,-47815.09869067049,-55127.97754430847,-32276.23093242600,-33146.25859374301,-18391.57221651706,.000000000000000,.000000000000000
386.0000000000,-58684.05353218981,-47780.23207898618,-55064.00265879244,-32213.33484921292,-33082.93058630750,-18335.21577788511,.000000000000000,.000000000000000
387.0000000000,-58697.70662500348,-47781.43544129361,-55030.74210673491,-32177.39876509961,-33043.84308727935,-18302.48576843258,.000000000000000,.000000000000000
388.0000000000,-62115.08080408314,-51107.18183658199,-58280.43307102360,-35171.12506024529,-35974.73186595604,-21082.96217863669,.000000000000000,.000000000000000
389.0000000000,-60161.94835584737,-49338.24910466846,-56876.57532083216,-33758.63210080008,-34572.25898449503,-19652.04289686846,.000000000000000,.000000000000000
390.0000000000,-59455.10710580754,-48643.11656759752,-56253.55549679803,-33175.23465606295,-34001.85587211348,-19092.92599749117,.000000000000000,.000000000000000
391.0000000000,-59166.68319448199,-48326.40598852865,-55915.97729397155,-32887.65782178231,-33726.49479170000,-18842.28709579751,.000000000000000,.000000000000000
392.0000000000,-59435.90647294844,-48521.10297250201,-56012.08889655983,-32994.21860265979,-33833.83454953227,-18961.25026830839,.000000000000000,.000000000000000
393.0000000000,-60127.19502291006,-49154.72984196437,-56584.26549849725,-33520.64747719174,-34349.69101497637,-19457.40725988767,.000000000000000,.000000000000000
394.0000000000,-61439.73616177343,-50417.96988487603,-57834.93463503913,-34641.21342415332,-35442.34314969067,-20477.26582710308,.000000000000000,.000000000000000
395.0000000000,-60153.80922233271,-49252.50544899411,-56909.53163127049,-33739.94519388337,-34556.00355600023,-19590.23168556154,.000000000000000,.000000000000000
396.0000000000,-59666.42955826870,-48764.70089966049,-56455.33183737795,-33336.06714878466,-34165.67115544746,-19221.53318723544,.000000000000000,.000000000000000
397.0000000000,-60281.30079458417,-49291.61504247344,-56903.19153610326,-33769.13814880935,-34594.61804678016,-19642.56143738257,.000000000000000,.000000000000000
398.0000000000,-59738.74174577740,-48779.24917256269,-56442.92477753774,-33347.31883829736,-34183.35103444789,-19249.65033150485,.000000000000000,.000000000000000
399.0000000000,-59504.94305883390,-48533.13078466806,-56177.03090552086,-33123.45597003319,-33968.19284602425,-19059.09092395165,.000000000000000,.000000000000000
400.0000000000,-61183.75288477782,-50094.57147096850,-57627.04768407748,-34470.39414871407,-35289.78927445506,-20326.27749218291,.000000000000000,.000000000000000
401.0000000000,-61887.31144682915,-50801.19718549127,-58412.02412389210,-35139.72266339918,-35936.65184099315,-20901.21029707746,.000000000000000,.000000000000000
402.0000000000,-60615.16688424168,-49639.71157247182,-57461.22101375550,-34216.71557878763,-35027.62904038178,-19993.37480361180,.000000000000000,.000000000000000
403.0000000000,-61882.22245832036,-50805.41540752842,-58581.71198519631,-35253.84634753958,-36047.44666232675,-20960.08780417286,.000000000000000,.000000000000000
404.0000000000,-60768.70762279849,-49771.76718318980,-57703.97876264330,-34418.37376715682,-35227.77389665603,-20151.21460331517,.000000000000000,.000000000000000
405.0000000000,-60335.46586573904,-49322.15641681084,-57254.05776697528,-34027.53029290879,-34851.81388074147,-19804.45556178316,.000000000000000,.000000000000000
406.0000000000,-64088.23562555949,-52931.16869950244,-61000.41953007322,-37560.40969630619,-38343.51537091457,-23140.98674061490,.000000000000000,.000000000000000
407.0000000000,-66610.90886033420,-55457.70574405508,-63629.40192596022,-39859.96452410084,-40561.26052111223,-25125.18026616503,.000000000000000,.000000000000000
408.0000000000,-63501.43010232532,-52545.85102342453,-61210.37115301148,-37467.27626726920,-38198.96489422845,-22734.90008349888,.000000000000000,.000000000000000
409.0000000000,-62384.37106464913,-51383.46363812263,-60105.73399653016,-36458.61471343532,-37225.60126643477,-21801.30583523025,.000000000000000,.000000000000000
410.0000000000,-62755.02327607739,-51601.84186251428,-60193.81354244241,-36583.75497363870,-37365.43117439628,-21965.62440549154,.000000000000000,.000000000000000
411.0000000000,-62663.93412172835,-51435.13122065426,-60000.61298108514,-36431.36307757504,-37230.20191395428,-21858.67170897021,.000000000000000,.000000000000000
412.0000000000,-62354.16763714577,-51073.27085364444,-59600.25913470055,-36084.09555443213,-36899.51729853752,-21567.38324711478,.000000000000000,.000000000000000
413.0000000000,-63265.80687822170,-51884.15925745285,-60310.48325883171,-36758.47381919986,-37566.10495733592,-22225.41952446679,.000000000000000,.000000000000000
414.0000000000,-63366.72269187315,-51965.22263063713,-60445.93515571652,-36870.95132991447,-37678.75617244049,-22327.90820679304,.000000000000000,.000000000000000
415.0000000000,-62958.72990816695,-51557.58172719427,-60066.91067595263,-36508.71025124674,-37323.09942797809,-21985.98643972614,.000000000000000,.000000000000000
416.0000000000,-62383.71317915300,-50997.31923394828,-59540.69610588466,-36041.70298770854,-36872.02497442327,-21571.55937157897,.000000000000000,.000000000000000
417.0000000000,-62117.27723052552,-50707.12043791041,-59208.62672989405,-35769.99038010514,-36612.86665204573,-21353.42175573052,.000000000000000,.000000000000000
418.0000000000,-61957.91711467912,-50520.89077116949,-58961.77400177329,-35575.99898188653,-36428.16348382414,-21208.03679382987,.000000000000000,.000000000000000
419.0000000000,-62280.85183132940,-50777.30020562849,-59205.29206654227,-35835.03724216289,-36692.03967679034,-21485.83401104473,.000000000000000,.000000000000000
420.0000000000,-64017.11078080499,-52419.86583294195,-60749.82277828526,-37254.59893359483,-38077.53982690100,-22804.59979421427,.000000000000000,.000000000000000
421.0000000000,-65715.50355911315,-54086.45739809971,-62446.94276859442,-38744.80545490627,-39516.00000519758,-24117.87497247988,.000000000000000,.000000000000000
422.0000000000,-63748.38239177052,-52313.84268302545,-61018.97797359222,-37341.02838683841,-38130.53256024767,-22726.30471326699,.000000000000000,.000000000000000
423.0000000000,-63014.87165521175,-51582.17527089864,-60332.47474146006,-36721.78924899719,-37530.66853989143,-22157.99940481520,.000000000000000,.000000000000000
424.0000000000,-62695.50896446520,-51222.70151394571,-59926.25213832728,-36387.20298469289,-37212.75596907444,-21882.36987919142,.000000000000000,.000000000000000
425.0000000000,-69488.46084846066,-57648.24468160491,-67008.60018598543,-43077.23117627256,-43739.16088337486,-28234.36096718325,.000000000000000,.000000000000000
426.0000000000,-72864.00423238744,-61028.63595865888,-70839.83460101206,-46387.19388443349,-46938.67550746095,-31033.21588890921,.000000000000000,.000000000000000
427.0000000000,-68161.59662309451,-56712.28968161398,-66986.45916361737,-42566.52340257129,-43172.86375940530,-27132.05551818156,.000000000000000,.000000000000000
428.0000000000,-66474.69293854985,-54996.25325492522,-65250.82290403322,-40972.99260403542,-41644.90963652966,-25628.75214435253,.000000000000000,.000000000000000
429.0000000000,-65799.61975290711,-54204.60569882788,-64302.31564505737,-40172.84694147203,-40906.46486340325,-24970.32816704878,.000000000000000,.000000000000000
430.0000000000,-65471.34515535262,-53763.04517959806,-63687.36280862879,-39684.68199694426,-40465.47080776485,-24618.25682257226,.000000000000000,.000000000000000
431.0000000000,-71168.62444707338,-59077.64449579942,-68882.07145300490,-44531.80221982143,-45235.33566321147,-29204.45943643505,.000000000000000,.000000000000000
