per,k,i,j,q,boundname
0,8,118,70,-31391.44701,usgs_s_2040
1,8,118,70,-17650.1456151871,usgs_s_2040
32,8,118,70,-11763.8888928,usgs_s_2040
60,8,118,70,-18732.52688794839,usgs_s_2040
91,8,118,70,-15114.81481984,usgs_s_2040
121,8,118,70,-33497.759867767745,usgs_s_2040
152,8,118,70,-42448.03242152,usgs_s_2040
182,8,118,70,-72019.32126050322,usgs_s_2040
213,8,118,70,-60396.87502008,usgs_s_2040
244,8,118,70,-39204.050938960005,usgs_s_2040
274,8,118,70,-28784.442213870967,usgs_s_2040
305,8,118,70,-20359.54861788,usgs_s_2040
335,8,118,70,-29487.343199767743,usgs_s_2040
0,10,118,70,-36045.90971,usgs_s_2048
1,10,118,70,-25757.22447092903,usgs_s_2048
32,10,118,70,-20887.5868125,usgs_s_2048
60,10,118,70,-17611.335131303225,usgs_s_2048
91,10,118,70,-23910.99537832,usgs_s_2048
121,10,118,70,-25675.291227174195,usgs_s_2048
152,10,118,70,-39529.34029092,usgs_s_2048
182,10,118,70,-71001.62412754838,usgs_s_2048
213,10,118,70,-58489.69909352,usgs_s_2048
244,10,118,70,-27408.96991652,usgs_s_2048
274,10,118,70,-26701.612912103225,usgs_s_2048
305,10,118,70,-23095.54398916,usgs_s_2048
335,10,118,70,-22096.102157883877,usgs_s_2048
0,9,119,69,-48577.69056,usgs_s_2063
1,9,119,69,-31686.6039531871,usgs_s_2063
32,9,119,69,-25690.538202985717,usgs_s_2063
60,9,119,69,-25757.22447092903,usgs_s_2063
91,9,119,69,-20809.6064884,usgs_s_2063
121,9,119,69,-24592.909954412906,usgs_s_2063
152,9,119,69,-48294.32871975999,usgs_s_2063
182,9,119,69,-79975.47045669677,usgs_s_2063
213,9,119,69,-62914.52548388,usgs_s_2063
244,9,119,69,-32136.80556624,usgs_s_2063
274,9,119,69,-26054.771514038708,usgs_s_2063
305,9,119,69,-23612.44213748,usgs_s_2063
335,9,119,69,-26960.34947132903,usgs_s_2063
0,11,152,20,-110333.95568,usgs_s_2106
1,11,152,20,-94943.38040790967,usgs_s_2106
32,11,152,20,-91012.58683581428,usgs_s_2106
60,11,152,20,-89816.08425925161,usgs_s_2106
91,11,152,20,-110571.64355528,usgs_s_2106
121,11,152,20,-73032.70611747097,usgs_s_2106
152,11,152,20,-130258.33337664,usgs_s_2106
182,11,152,20,-144896.7854424387,usgs_s_2106
213,11,152,20,-171516.60885332,usgs_s_2106
244,11,152,20,-131367.88198812,usgs_s_2106
274,11,152,20,-114585.79752913548,usgs_s_2106
305,11,152,20,-94654.74540184,usgs_s_2106
335,11,152,20,-88289.53855981937,usgs_s_2106
0,10,152,20,-135286.83243,usgs_s_2119
1,10,152,20,-131571.85264230968,usgs_s_2119
32,10,152,20,-136062.93407301427,usgs_s_2119
60,10,152,20,-140890.6810504258,usgs_s_2119
91,10,152,20,-126675.69448656,usgs_s_2119
121,10,152,20,-156302.75542830967,usgs_s_2119
152,10,152,20,-170647.68524192,usgs_s_2119
182,10,152,20,-199886.9288298968,usgs_s_2119
213,10,152,20,-126564.29402356,usgs_s_2119
244,10,152,20,-169159.37505623998,usgs_s_2119
274,10,152,20,-132464.4937716387,usgs_s_2119
305,10,152,20,-126203.35652344,usgs_s_2119
335,10,152,20,-147992.9996011742,usgs_s_2119
0,12,118,70,-46732.041032,usgs_s_2123
1,12,118,70,-36076.50090805161,usgs_s_2123
32,12,118,70,-49824.65279434285,usgs_s_2123
60,12,118,70,-24191.868287612902,usgs_s_2123
91,12,118,70,-28500.69445392,usgs_s_2123
121,12,118,70,-53075.492849187096,usgs_s_2123
152,12,118,70,-80970.31252692001,usgs_s_2123
182,12,118,70,-122317.708374,usgs_s_2123
213,12,118,70,-97060.99540264,usgs_s_2123
244,12,118,70,-80453.41437859999,usgs_s_2123
274,12,118,70,-43946.40458450323,usgs_s_2123
305,12,118,70,-27471.3541758,usgs_s_2123
335,12,118,70,-37465.05377589678,usgs_s_2123
0,13,146,58,-112090.62137,usgs_s_2157
1,13,146,58,-51385.08066224517,usgs_s_2157
32,13,146,58,-36776.47570667143,usgs_s_2157
60,13,146,58,-26153.95386174193,usgs_s_2157
91,13,146,58,-17195.77546868,usgs_s_2157
121,13,146,58,-147190.91626757418,usgs_s_2157
152,13,146,58,-216103.53016444,usgs_s_2157
182,13,146,58,-239085.51755260647,usgs_s_2157
213,13,146,58,-239444.1551722,usgs_s_2157
244,13,146,58,-193502.604231,usgs_s_2157
274,13,146,58,-102847.78229225808,usgs_s_2157
305,13,146,58,-40086.34260592001,usgs_s_2157
335,13,146,58,-37339.997772270974,usgs_s_2157
0,10,146,58,-22338.75361,usgs_s_2178
1,10,146,58,-7805.2195366451615,usgs_s_2178
32,10,146,58,-8541.232641728571,usgs_s_2178
60,10,146,58,-8197.636651470968,usgs_s_2178
91,10,146,58,-7962.90509524,usgs_s_2178
121,10,146,58,-14976.534503187097,usgs_s_2178
152,10,146,58,-51324.42131336,usgs_s_2178
182,10,146,58,-58232.97492975484,usgs_s_2178
213,10,146,58,-44203.7037184,usgs_s_2178
244,10,146,58,-42751.04168088,usgs_s_2178
274,10,146,58,-8038.082439948387,usgs_s_2178
305,10,146,58,-3163.7731492000003,usgs_s_2178
335,10,146,58,-9064.40412487742,usgs_s_2178
0,4,171,53,-35975.21337,usgs_s_2219
1,4,171,53,-20030.52196006452,usgs_s_2219
32,4,171,53,-10493.9236146,usgs_s_2219
60,4,171,53,-10405.521956864515,usgs_s_2219
91,4,171,53,-9148.20602156,usgs_s_2219
121,4,171,53,-31966.90189234839,usgs_s_2219
152,4,171,53,-89534.78012236,usgs_s_2219
182,4,171,53,-133249.32800129033,usgs_s_2219
213,4,171,53,-95091.4352168,usgs_s_2219
244,4,171,53,-52148.78473956,usgs_s_2219
274,4,171,53,-26951.72491935484,usgs_s_2219
305,4,171,53,-10204.2824108,usgs_s_2219
335,4,171,53,-10353.774645019355,usgs_s_2219
0,13,119,69,-23588.187360000004,usgs_s_2232
1,13,119,69,-10383.960576929032,usgs_s_2232
32,13,119,69,-7061.197919014286,usgs_s_2232
60,13,119,69,-11017.865147032258,usgs_s_2232
91,13,119,69,-8889.7569474,usgs_s_2232
121,13,119,69,-19702.78898504516,usgs_s_2232
152,13,119,69,-24967.07176756,usgs_s_2232
182,13,119,69,-42842.46193180645,usgs_s_2232
213,13,119,69,-35527.83565996,usgs_s_2232
244,13,119,69,-23189.12037808,usgs_s_2232
274,13,119,69,-16929.995525341936,usgs_s_2232
305,13,119,69,-12102.54630032,usgs_s_2232
335,13,119,69,-17343.974020103225,usgs_s_2232
0,11,144,58,-22578.28242,usgs_s_2233
1,11,144,58,-0.0,usgs_s_2233
32,11,144,58,-0.0,usgs_s_2233
60,11,144,58,-0.0,usgs_s_2233
91,11,144,58,-1621.9907412799998,usgs_s_2233
121,11,144,58,-18029.62590205161,usgs_s_2233
152,11,144,58,-52037.384276560006,usgs_s_2233
182,11,144,58,-55451.55691807742,usgs_s_2233
213,11,144,58,-59273.958353040005,usgs_s_2233
244,11,144,58,-46890.68288596,usgs_s_2233
274,11,144,58,-13428.427423819356,usgs_s_2233
305,11,144,58,-0.0,usgs_s_2233
335,11,144,58,-0.0,usgs_s_2233
0,7,80,74,-7876.94132,usgs_s_2491
1,7,80,74,-1030.633960916129,usgs_s_2491
32,7,80,74,-926.2152780857144,usgs_s_2491
60,7,80,74,-629.5922941161291,usgs_s_2491
91,7,80,74,-1483.85416716,usgs_s_2491
121,7,80,74,-1487.7352155483873,usgs_s_2491
152,7,80,74,-10560.7638924,usgs_s_2491
182,7,80,74,-27150.08961476129,usgs_s_2491
213,7,80,74,-18274.13195052,usgs_s_2491
244,7,80,74,-7918.34491004,usgs_s_2491
274,7,80,74,-1254.8723122451613,usgs_s_2491
305,7,80,74,-2170.08101924,usgs_s_2491
335,7,80,74,-2479.558692580645,usgs_s_2491
0,7,80,77,-4939.309179,usgs_s_2493
1,7,80,77,-1793.9068106322582,usgs_s_2493
32,7,80,77,-1260.4166670857142,usgs_s_2493
60,7,80,77,-1138.4408605935482,usgs_s_2493
91,7,80,77,-1154.10879668,usgs_s_2493
121,7,80,77,-694.2764339225806,usgs_s_2493
152,7,80,77,-10057.23379964,usgs_s_2493
182,7,80,77,-25360.49508011613,usgs_s_2493
213,7,80,77,-21562.67361828,usgs_s_2493
244,7,80,77,-6225.05787244,usgs_s_2493
274,7,80,77,-1362.6792119225806,usgs_s_2493
305,7,80,77,-1417.01388936,usgs_s_2493
335,7,80,77,-2246.6957892774194,usgs_s_2493
0,11,70,20,-40924.97149,usgs_s_2499
1,11,70,20,-11513.776885548386,usgs_s_2499
32,11,70,20,-9405.381947571428,usgs_s_2499
60,11,70,20,-12475.414430670968,usgs_s_2499
91,11,70,20,-39587.26853168,usgs_s_2499
121,11,70,20,-106616.71150498065,usgs_s_2499
152,11,70,20,-171993.40283496,usgs_s_2499
182,11,70,20,-162374.44001814193,usgs_s_2499
213,11,70,20,-83871.18058344,usgs_s_2499
244,11,70,20,-63819.09724344,usgs_s_2499
274,11,70,20,-27650.313629264518,usgs_s_2499
305,11,70,20,-8421.8750028,usgs_s_2499
335,11,70,20,-4424.3951627612905,usgs_s_2499
0,13,70,22,-41513.9121,usgs_s_2500
1,13,70,22,-10823.812727612903,usgs_s_2500
32,13,70,22,-6927.517363414286,usgs_s_2500
60,13,70,22,-7188.564070490323,usgs_s_2500
91,13,70,22,-240.62500008,usgs_s_2500
121,13,70,22,-21350.07841211613,usgs_s_2500
152,13,70,22,-27043.57639788,usgs_s_2500
182,13,70,22,-54278.61784958709,usgs_s_2500
213,13,70,22,-69059.37502296,usgs_s_2500
244,13,70,22,-63667.59261376,usgs_s_2500
274,13,70,22,-27878.864256580644,usgs_s_2500
305,13,70,22,-9001.1574104,usgs_s_2500
335,13,70,22,-2432.123656722581,usgs_s_2500
0,6,102,38,-33044.981436,usgs_s_2504
1,6,102,38,-0.0,usgs_s_2504
32,6,102,38,-0.0,usgs_s_2504
60,6,102,38,-0.0,usgs_s_2504
91,6,102,38,-0.0,usgs_s_2504
121,6,102,38,-36412.85843504517,usgs_s_2504
152,6,102,38,-97604.62966208,usgs_s_2504
182,6,102,38,-96366.4314836516,usgs_s_2504
213,6,102,38,-98473.55327348,usgs_s_2504
244,6,102,38,-76353.8773402,usgs_s_2504
274,6,102,38,-34920.81094350968,usgs_s_2504
305,6,102,38,-1029.34027812,usgs_s_2504
335,6,102,38,-0.0,usgs_s_2504
